engine,label,pass_rate,f1_median,f1_mean,precision_mean,recall_mean,matched_median,fp_mean
E00,Azure DI custom template,0.925,0.965034965034965,0.9249483688066643,0.9956466348837653,0.8753439015939017,66,0.275
E02,Mistral on Foundry,0.925,0.9722222222222222,0.942004510353273,1,0.898912681912682,69,0
E03,Azure CU + gpt-5.2,1,0.9793103448275862,0.966216801762331,1,0.9367685377685382,70,0
E04,gpt-5.4 VLM-direct,1,0.9428032042451145,0.924188335527871,1,0.8630809078309081,66,0
E05,gpt-5.4 VLM + Azure DI layout,1,0.9793103448275862,0.9635278573380622,0.9995192307692309,0.9326134788634789,71,0.025
E06,ensemble (per-field weighted),1.0,0.9863013698630138,0.974440810526062,1.0,0.9520826403326403,71.0,0
