engine,label,full_name,f1_median,f1_mean,precision_mean,recall_mean,matched_median,matched_total,processed_total,field_accuracy,fp_mean,pass_rate
E00,Azure DI custom template,E00 — Azure DI custom template,0.9523809523809523,0.9161824328284048,0.9299032753487284,0.9119462123249628,68,2524,2852,0.884992987377279,4.725,0.875
E01,Azure DI Neural custom,E01 — Azure DI Neural custom model,0.979591836734694,0.9460696039391957,0.9661102261157698,0.9309465221125903,70,2625,2852,0.9204067321178121,2.25,0.95
E02,Mistral on Foundry,E02 — Mistral on Azure Foundry,0.9657518179685667,0.9265630113360264,0.9496898898862212,0.9100630068951989,70,2580,2852,0.9046283309957924,3.45,0.9
E03,Azure CU + gpt-5.2,E03 — Azure Content Understanding + gpt-5.2,0.9807692307692307,0.9528771207489621,0.972022828110458,0.9373608439747141,71,2648,2852,0.9284712482468443,1.85,0.95
E04,gpt-5.4 VLM-direct,E04 — gpt-5.4 vision-language model (direct),0.9183673469387754,0.8865650642921326,0.8921893048189382,0.8819009341269617,67,2522,2852,0.8842917251051894,7.3,0.8
E05,gpt-5.4 VLM + Azure DI layout,E05 — gpt-5.4 VLM + Azure DI prebuilt-layout (hybrid),0.979591836734694,0.956834243669549,0.9654431884770514,0.9501356335260447,72,2707,2852,0.9491584852734923,2.325,0.975
E07,gpt-4o VLM + Azure DI layout,E07 — gpt-4o VLM + Azure DI prebuilt-layout (hybrid),0.9727878563495003,0.9355476116369044,0.9551677798836659,0.921083926846799,69,2599,2852,0.9112903225806451,3.1,0.95
E08,gpt-5.2 VLM + Azure DI layout,E08 — gpt-5.2 VLM + Azure DI prebuilt-layout (hybrid),0.9835353003161222,0.9726687795596801,0.9782206415965197,0.9681007627754207,72,2752,2852,0.9649368863955119,1.575,0.975
E06,ensemble (per-field weighted),E06 — Ensemble combiner (per-field weighted majority),0.9898418826990256,0.9839584403845656,0.9886281468622148,0.9802208227721927,73.0,2787,2850,0.9778947368421053,0.825,1.0
