engine,sample,input_tokens,output_tokens,cached_tokens,document_pages_standard,contextualization_tokens,wallclock_s,cost_cold_cache_usd,cost_warm_cache_usd
E05,synth-full (1),12154,1973,0,0,0,33.7,0.0600,0.0600
E05,manual sample (1),11940,1533,9344,0,0,22.1,0.0528,0.0318
E05,1 81,11801,1213,9344,0,0,22.9,0.0477,0.0267
E05,HR0081 (10),12052,1883,9472,0,0,28.5,0.0584,0.0371
E05,81 blank,11816,1699,9344,0,0,28.4,0.0550,0.0340
E07,synth-full (1),11905,1682,0,0,0,62.0,0.0466,0.0466
E07,HR0081 (10),11779,1429,9344,0,0,54.3,0.0437,0.0321
E07,81 blank,11543,1564,9344,0,0,48.4,0.0445,0.0328
E08,synth-full (1),12165,2186,9344,0,0,60.9,0.0519,0.0372
E08,manual sample (1),11956,1412,9344,0,0,43.7,0.0407,0.0260
E08,1 81,11817,1513,11520,0,0,46.4,0.0419,0.0238
E08,HR0081 (10),12068,1811,9472,0,0,51.4,0.0465,0.0316
E08,81 blank,11832,1835,9344,0,0,73.8,0.0464,0.0317
E03,synth-full (1),17287,3390,0,1,1000,28.4,0.0837,0.0837
E03,manual sample (1),17919,2085,0,1,1000,20.9,0.0665,0.0665
E03,1 81,17825,2053,0,1,1000,20.4,0.0659,0.0659
E03,HR0081 (10),21952,2398,0,1,1000,21.9,0.0780,0.0780
E03,81 blank,19236,2051,0,1,1000,31.9,0.0684,0.0684
E04,synth-full (1),10264,2014,0,0,0,21.6,0.0559,0.0559
E04,manual sample (1),10288,1489,9216,0,0,16.3,0.0481,0.0273
E04,1 81,10288,1197,9216,0,0,14.8,0.0437,0.0229
E04,HR0081 (10),10288,1282,9216,0,0,15.7,0.0450,0.0242
E04,81 blank,10288,1202,9216,0,0,13.0,0.0437,0.0230
E07,1 81,11528,1942,9344,0,0,73.5,0.0482,0.0366
